Player,Location,Opposition,OppositionTeam,NotOut,FinalScore,StartDate,PlayerID,RestDays,Innings,DateYYYYMMDD,OpponentRank,RankDateUsed,y_log_runs,OppStrength,Home,Away,OppStrengthZ,RestDaysZ,InningsZ,PlayerIndex,P_OOF,P_NF,P_HF
P Nissanka,Away,v Pakistan, Pakistan,0,29,2025-11-11,38,71,71,20251111,4,20251111,3.4011973816621555,-4.0,0,1,0.721067037532964,0.43439121609820847,2.660941444880389,13,0.14502160110100001,0.3471835822700001,0.5077948172451
P Nissanka,Away,v Pakistan, Pakistan,0,24,2025-11-14,38,2,72,20251114,4,20251114,3.2188758248682006,-4.0,0,1,0.721067037532964,-0.37900666717981946,2.7165861320501157,13,0.17944396199,0.43546654544000013,0.385089492815911
P Nissanka,Away,v Pakistan, Pakistan,0,24,2025-11-16,38,1,73,20251116,4,20251116,3.2188758248682006,-4.0,0,1,0.721067037532964,-0.3907950422997909,2.7722308192198417,13,0.16557985940999997,0.47885531811,0.355564823275509
PHKD Mendis,Home,v South Africa, South Africa,0,16,2021-09-07,42,180,1,20210907,5,20210907,2.833213344056216,-5.0,1,0,0.46925943417924393,1.7193241041750933,-1.2341866570004438,14,0.107878347615,0.8025258641,0.089595787847411
PHKD Mendis,Home,v Zimbabwe, Zimbabwe,0,17,2022-01-16,42,130,2,20220116,14,20220116,2.8903717578961645,-14.0,1,0,-1.7970089960042364,1.1299053481765222,-1.1785419698307178,14,0.25024880004000005,0.6436443713,0.10610682813399111
PHKD Mendis,Home,v Zimbabwe, Zimbabwe,0,57,2022-01-18,42,1,3,20220118,14,20220118,4.060443010546419,-14.0,1,0,-1.7970089960042364,-0.3907950422997909,-1.1228972826609915,14,0.069130338309,0.49911896972,0.4317506915000001
PHKD Mendis,Home,v Zimbabwe, Zimbabwe,0,11,2022-01-21,42,2,4,20220121,14,20220121,2.4849066497880004,-14.0,1,0,-1.7970089960042364,-0.37900666717981946,-1.0672525954912653,14,0.6008039057,0.34916571999,0.05003037431341228
PHKD Mendis,Home,v India, India,0,40,2024-08-04,42,925,5,20240804,1,20240804,3.713572066704308,-1.0,1,0,1.4764898475941242,10.501663568553802,-1.011607908321539,14,0.0815749435557,0.3169165239897,0.6015085325
PHKD Mendis,Home,v India, India,1,23,2024-08-07,42,2,6,20240807,1,20240807,3.1780538303479458,-1.0,1,0,1.4764898475941242,-0.37900666717981946,-0.955963221151813,14,0.09092870813899999,0.31611992772,0.5929513644
PHKD Mendis,Home,v West Indies, West Indies,1,30,2024-10-20,42,73,7,20241020,10,20241020,3.4339872044851463,-10.0,1,0,-0.7897785825893563,0.45796796633815134,-0.9003185339820867,14,0.08959691512099999,0.31061725523000006,0.5997858298
