Player,Location,Opposition,OppositionTeam,NotOut,FinalScore,StartDate,PlayerID,RestDays,Innings,DateYYYYMMDD,OpponentRank,RankDateUsed,y_log_runs,OppStrength,Home,Away,OppStrengthZ,RestDaysZ,InningsZ,PlayerIndex,P_OOF,P_NF,P_HF,prob_sum,most_likely_state
M Theekshana,Away,v New Zealand, New Zealand,1,11,2025-01-11,28,2,27,20250111,5,20250111,2.4849066497880004,-5.0,0,1,0.4692594341792439,-0.3790066671798194,0.2125752094124371,10,0.1214468290674775,0.43105687479575,0.44749629610275,0.9999999999659774,HF
M Theekshana,Home,v Australia, Australia,0,2,2025-02-12,28,31,28,20250212,2,20250212,1.0986122886681096,-2.0,1,0,1.224682244240404,-0.0371437887006483,0.2682198965821633,10,0.8975529339474999,0.0933795555660917,0.0090675104717213,0.9999999999853129,OOF
M Theekshana,Home,v Bangladesh, Bangladesh,0,1,2025-07-02,28,139,29,20250702,10,20250702,0.6931471805599453,-10.0,1,0,-0.7897785825893563,1.236000724256265,0.3238645837518895,10,0.9808896217525,0.0178506173631986,0.0012597609116482,1.0000000000273468,OOF
M Theekshana,Home,v Bangladesh, Bangladesh,0,2,2025-07-05,28,2,30,20250705,9,20250705,1.0986122886681096,-9.0,1,0,-0.5379709792356362,-0.3790066671798194,0.3795092709216157,10,0.9756790816925,0.0217736931790581,0.0025472251394706,1.0000000000110287,OOF
M Theekshana,Away,v Pakistan, Pakistan,1,21,2025-11-11,28,128,31,20251111,4,20251111,3.091042453358316,-4.0,0,1,0.721067037532964,1.1063285979365791,0.4351539580913419,10,0.1117579995535825,0.2745258776594925,0.613716122796125,1.0000000000092,HF
M Theekshana,Away,v Pakistan, Pakistan,0,7,2025-11-16,28,4,32,20251116,4,20251116,2.079441541679836,-4.0,0,1,0.721067037532964,-0.3554299169398766,0.4907986452610681,10,0.50798441340675,0.35649857276325,0.1355170138454216,1.0000000000154217,OOF
MD Shanaka,Away,v Bangladesh, Bangladesh,0,14,2021-05-23,31,69,1,20210523,7,20210523,2.70805020110221,-7.0,0,1,-0.0343557725281961,0.4108144658582656,-1.2341866570004438,11,0.0786210840370675,0.7933117307925,0.1280671851748713,1.0000000000044387,NF
MD Shanaka,Away,v Bangladesh, Bangladesh,0,11,2021-05-25,31,1,2,20210525,7,20210525,2.4849066497880004,-7.0,0,1,-0.0343557725281961,-0.3907950422997909,-1.1785419698307178,11,0.1624395797200249,0.6822620429424999,0.15529837734208,1.0000000000046048,NF
MD Shanaka,Away,v England, England,0,1,2021-06-29,31,34,3,20210629,4,20210629,0.6931471805599453,-4.0,0,1,0.721067037532964,-0.001778663340734,-1.1228972826609915,11,0.86843711283,0.1239522155763845,0.0076106715749498,0.9999999999813343,OOF
MD Shanaka,Away,v England, England,0,47,2021-07-01,31,1,4,20210701,3,20210701,3.8712010109078903,-3.0,0,1,0.972874640886684,-0.3907950422997909,-1.0672525954912653,11,0.0786791227806855,0.2938433239806692,0.627477553264975,1.0000000000263296,HF
MD Shanaka,Away,v England, England,1,48,2021-07-04,31,2,5,20210704,3,20210704,3.8918202981106265,-3.0,0,1,0.972874640886684,-0.3790066671798194,-1.011607908321539,11,0.0721847106242249,0.2792206221185966,0.648594667212725,0.9999999999555464,HF
MD Shanaka,Home,v India, India,0,39,2021-07-18,31,13,6,20210718,4,20210718,3.688879454113936,-4.0,1,0,0.721067037532964,-0.2493345408601338,-0.955963221151813,11,0.0720449050134662,0.3149361214397208,0.6130189735123935,0.9999999999655805,HF
MD Shanaka,Home,v India, India,0,16,2021-07-20,31,1,7,20210720,4,20210720,2.833213344056216,-4.0,1,0,0.721067037532964,-0.3907950422997909,-0.9003185339820867,11,0.230787207968865,0.470679783636,0.298533008224706,0.999999999829571,NF
MD Shanaka,Home,v India, India,0,0,2021-07-23,31,2,8,20210723,4,20210723,0.0,-4.0,1,0,0.721067037532964,-0.3790066671798194,-0.8446738468123606,11,0.979174917135,0.0194531063662846,0.0013719765898693,1.000000000091154,OOF
MD Shanaka,Home,v South Africa, South Africa,0,6,2021-09-02,31,40,9,20210902,5,20210902,1.9459101490553128,-5.0,1,0,0.4692594341792439,0.0689515873790944,-0.7890291596426343,11,0.7855200012075,0.1655784261873999,0.0489015726201092,1.000000000015009,OOF
MD Shanaka,Home,v South Africa, South Africa,0,30,2021-09-04,31,1,10,20210904,5,20210904,3.4339872044851463,-5.0,1,0,0.4692594341792439,-0.3907950422997909,-0.7333844724729082,11,0.1486389676090174,0.3769944271227,0.4743666053513855,1.0000000000831029,HF
MD Shanaka,Home,v South Africa, South Africa,0,13,2021-09-07,31,2,11,20210907,5,20210907,2.639057329615259,-5.0,1,0,0.4692594341792439,-0.3790066671798194,-0.677739785303182,11,0.332249336981975,0.47401645904725,0.1937342039964937,1.0000000000257188,NF
MD Shanaka,Home,v Zimbabwe, Zimbabwe,1,10,2022-01-16,31,130,12,20220116,14,20220116,2.3978952727983707,-14.0,1,0,-1.7970089960042364,1.1299053481765222,-0.6220950981334558,11,0.169434739340925,0.45856740601775,0.371997854783375,1.00000000014205,NF
MD Shanaka,Home,v Zimbabwe, Zimbabwe,0,102,2022-01-18,31,1,13,20220118,14,20220118,4.634728988229636,-14.0,1,0,-1.7970089960042364,-0.3907950422997909,-0.5664504109637296,11,0.0565879566689785,0.341416102737675,0.6019959406966,1.0000000001032534,HF
MD Shanaka,Home,v Zimbabwe, Zimbabwe,0,15,2022-01-21,31,2,14,20220121,14,20220121,2.772588722239781,-14.0,1,0,-1.7970089960042364,-0.3790066671798194,-0.5108057237940034,11,0.423738447227375,0.430107613766,0.1461539390380811,1.0000000000314562,NF
MD Shanaka,Home,v Australia, Australia,0,6,2022-06-14,31,143,15,20220614,3,20220614,1.9459101490553128,-3.0,1,0,0.972874640886684,1.2831542247361507,-0.4551610366242772,11,0.5730943967900001,0.36089049634815,0.0660151068345394,0.9999999999726894,OOF
MD Shanaka,Home,v Australia, Australia,0,34,2022-06-16,31,1,16,20220616,4,20220616,3.555348061489413,-4.0,1,0,0.721067037532964,-0.3907950422997909,-0.399516349454551,11,0.1036928194680742,0.43702135440625,0.459285826119968,0.9999999999942921,HF
MD Shanaka,Home,v Australia, Australia,0,0,2022-06-19,31,2,17,20220619,5,20220619,0.0,-5.0,1,0,0.4692594341792439,-0.3790066671798194,-0.3438716622848248,11,0.9822512666275,0.0167697710241319,0.0009789624179103,1.0000000000695421,OOF
MD Shanaka,Home,v Australia, Australia,0,4,2022-06-21,31,1,18,20220621,5,20220621,1.6094379124341005,-5.0,1,0,0.4692594341792439,-0.3907950422997909,-0.2882269751150986,11,0.903465236805,0.079814426247435,0.0167203369722531,1.000000000024688,OOF
MD Shanaka,Home,v Australia, Australia,0,1,2022-06-24,31,2,19,20220624,5,20220624,0.6931471805599453,-5.0,1,0,0.4692594341792439,-0.3790066671798194,-0.2325822879453724,11,0.9810257697025,0.0173683285778067,0.0016059017026999,0.9999999999830066,OOF
MD Shanaka,Home,v Afghanistan, Afghanistan,0,16,2022-11-25,31,153,20,20221125,9,20221125,2.833213344056216,-9.0,1,0,-0.5379709792356362,1.4010379759358649,-0.1769376007756462,11,0.412915961647925,0.351046524275875,0.2360375140602632,0.9999999999840632,OOF
MD Shanaka,Home,v Afghanistan, Afghanistan,0,43,2022-11-30,31,4,21,20221130,9,20221130,3.784189633918261,-9.0,1,0,-0.5379709792356362,-0.3554299169398766,-0.12129291360592,11,0.1048012062707987,0.393437112043225,0.5017616817278755,1.0000000000418992,HF
MD Shanaka,Away,v India, India,1,108,2023-01-10,31,40,22,20230110,5,20230110,4.691347882229144,-5.0,0,1,0.4692594341792439,0.0689515873790944,-0.0656482264361938,11,0.1237679849796475,0.3365200318787853,0.5397119831172372,0.99999999997567,HF
MD Shanaka,Away,v India, India,0,2,2023-01-12,31,1,23,20230112,4,20230112,1.0986122886681096,-4.0,0,1,0.721067037532964,-0.3907950422997909,-0.0100035392664676,11,0.856768576588,0.123454147335935,0.0197772760538538,0.9999999999777888,OOF
MD Shanaka,Away,v India, India,0,11,2023-01-15,31,2,24,20230115,4,20230115,2.4849066497880004,-4.0,0,1,0.721067037532964,-0.3790066671798194,0.0456411479032585,11,0.3573267348232249,0.41349336782,0.2291798973405217,0.9999999999837466,NF
MD Shanaka,Away,v New Zealand, New Zealand,0,0,2023-03-25,31,68,25,20230325,3,20230325,0.0,-3.0,0,1,0.972874640886684,0.3990260907382942,0.1012858350729847,11,0.974367979645,0.024137754298387,0.0014942660876947,1.0000000000310818,OOF
MD Shanaka,Away,v New Zealand, New Zealand,0,31,2023-03-31,31,5,26,20230331,2,20230331,3.4657359027997265,-2.0,0,1,1.224682244240404,-0.3436415418199052,0.1569305222427109,11,0.1088345896364575,0.2888703461291925,0.602295064187345,0.9999999999529949,HF
MD Shanaka,Home,v Afghanistan, Afghanistan,0,17,2023-06-02,31,62,27,20230602,8,20230602,2.8903717578961645,-8.0,1,0,-0.2861633758819162,0.3282958400184657,0.2125752094124371,11,0.310973604819875,0.4402179984722499,0.2488083966515035,0.9999999999436284,NF
MD Shanaka,Home,v Afghanistan, Afghanistan,0,23,2023-06-04,31,1,28,20230604,8,20230604,3.1780538303479458,-8.0,1,0,-0.2861633758819162,-0.3907950422997909,0.2682198965821633,11,0.18871877549385,0.52117596510275,0.2901052595077787,1.0000000001043787,NF
MD Shanaka,Neutral,v U.A.E., United Arab Emirates,0,1,2023-06-19,31,14,29,20230619,19,20230619,0.6931471805599453,-19.0,0,0,-3.056047012772837,-0.2375461657401624,0.3238645837518895,11,0.976270682745,0.0225820586483581,0.0011472586421406,1.0000000000354985,OOF
MD Shanaka,Neutral,v Ireland, Ireland,0,5,2023-06-25,31,5,30,20230625,13,20230625,1.791759469228055,-13.0,0,0,-1.5452013926505164,-0.3436415418199052,0.3795092709216157,11,0.91539645213,0.0709964485840899,0.0136070993117547,1.0000000000258447,OOF
MD Shanaka,Neutral,v Scotland, Scotland,0,0,2023-06-27,31,1,31,20230627,12,20230627,0.0,-12.0,0,0,-1.2933937892967964,-0.3907950422997909,0.4351539580913419,11,0.99392169316,0.0057079382878548,0.0003703685988486,1.0000000000467033,OOF
MD Shanaka,Neutral,v Netherlands, Netherlands,0,5,2023-06-30,31,2,32,20230630,15,20230630,1.791759469228055,-15.0,0,0,-2.048816599357957,-0.3790066671798194,0.4907986452610681,11,0.9338921625975,0.055330748861915,0.0107770885159927,0.9999999999754077,OOF
MD Shanaka,Neutral,v Netherlands, Netherlands,0,1,2023-07-09,31,8,33,20230709,14,20230709,0.6931471805599453,-14.0,0,0,-1.7970089960042364,-0.308276416459991,0.5464433324307942,11,0.9889987998,0.0101499451692643,0.0008512550881982,1.0000000000574625,OOF
MD Shanaka,Home,v Bangladesh, Bangladesh,1,14,2023-08-31,31,52,34,20230831,7,20230831,2.70805020110221,-7.0,1,0,-0.0343557725281961,0.2104120888187515,0.6020880196005205,11,0.1903784102858,0.30358159357895,0.506039996174225,1.000000000038975,HF
MD Shanaka,Neutral,v Afghanistan, Afghanistan,0,5,2023-09-05,31,4,35,20230905,9,20230905,1.791759469228055,-9.0,0,0,-0.5379709792356362,-0.3554299169398766,0.6577327067702466,11,0.83175796168,0.14350800168515,0.0247340366067098,0.9999999999718598,OOF
MD Shanaka,Home,v Bangladesh, Bangladesh,0,24,2023-09-09,31,3,36,20230909,7,20230909,3.218875824868201,-7.0,1,0,-0.0343557725281961,-0.3672182920598481,0.7133773939399729,11,0.245467606036625,0.4197856501235,0.3347467438214309,0.9999999999815559,NF
MD Shanaka,Home,v India, India,0,9,2023-09-12,31,2,37,20230912,3,20230912,2.302585092994046,-3.0,1,0,0.972874640886684,-0.3790066671798194,0.769022081109699,11,0.4976790622759999,0.4019916303756999,0.1003293074184304,1.0000000000701301,OOF
MD Shanaka,Home,v Pakistan, Pakistan,0,2,2023-09-14,31,1,38,20230914,3,20230914,1.0986122886681096,-3.0,1,0,0.972874640886684,-0.3907950422997909,0.8246667682794252,11,0.920011260415,0.0745180827424618,0.005470656840101,0.9999999999975627,OOF
MD Shanaka,Home,v India, India,0,0,2023-09-17,31,2,39,20230917,2,20230917,0.0,-2.0,1,0,1.224682244240404,-0.3790066671798194,0.8803114554491515,11,0.9909340002575,0.0085536097978505,0.0005123899981944,1.000000000053545,OOF
MD Shanaka,Neutral,v South Africa, South Africa,0,68,2023-10-07,31,19,40,20231007,4,20231007,4.23410650459726,-4.0,0,0,0.721067037532964,-0.1786042901403053,0.9359561426188776,11,0.090327777491445,0.245219996578175,0.6644522260082499,1.00000000007787,HF
MD Shanaka,Neutral,v Pakistan, Pakistan,0,12,2023-10-10,31,2,41,20231010,2,20231010,2.5649493574615367,-2.0,0,0,1.224682244240404,-0.3790066671798194,0.991600829788604,11,0.3636221295433499,0.4097935186825,0.2265843517957831,1.000000000021633,NF
MD Shanaka,Home,v Zimbabwe, Zimbabwe,0,8,2024-01-06,31,87,42,20240106,11,20240106,2.19722457733622,-11.0,1,0,-1.0415861859430764,0.6230052180177512,1.04724551695833,11,0.6884871169555,0.265487220858075,0.04602566224443,1.000000000058005,OOF
MD Shanaka,Home,v Zimbabwe, Zimbabwe,0,7,2024-01-08,31,1,43,20240108,11,20240108,2.079441541679836,-11.0,1,0,-1.0415861859430764,-0.3907950422997909,1.1028902041280562,11,0.7865425597305,0.1866302016575325,0.0268272386572025,1.0000000000452351,OOF
MDKJ Perera,Away,v Bangladesh, Bangladesh,0,14,2021-05-25,32,1,1,20210525,7,20210525,2.70805020110221,-7.0,0,1,-0.0343557725281961,-0.3907950422997909,-1.2341866570004438,12,0.1184068912470725,0.787011043245,0.0945820654486442,0.9999999999407168,NF
MDKJ Perera,Away,v Bangladesh, Bangladesh,0,120,2021-05-28,32,2,2,20210528,7,20210528,4.795790545596741,-7.0,0,1,-0.0343557725281961,-0.3790066671798194,-1.1785419698307178,12,0.049806227325838,0.4423495362180505,0.5078442365415589,1.0000000000854474,HF
MDKJ Perera,Away,v England, England,0,73,2021-06-29,32,31,3,20210629,4,20210629,4.304065093204169,-4.0,0,1,0.721067037532964,-0.0371437887006483,-1.1228972826609915,12,0.0472667557857029,0.3379951169275429,0.6147381273595399,1.0000000000727858,HF
MDKJ Perera,Away,v England, England,0,0,2021-07-01,32,1,4,20210701,3,20210701,0.0,-3.0,0,1,0.972874640886684,-0.3907950422997909,-1.0672525954912653,12,0.97083704598,0.0260722986278931,0.0030906552696448,0.9999999998775378,OOF
MDKJ Perera,Away,v England, England,0,9,2021-07-04,32,2,5,20210704,3,20210704,2.302585092994046,-3.0,0,1,0.972874640886684,-0.3790066671798194,-1.011607908321539,12,0.5488486499028999,0.3093047807104,0.1418465692699046,0.9999999998832045,OOF
MDKJ Perera,Home,v Pakistan, Pakistan,0,17,2023-09-14,32,801,6,20230914,3,20230914,2.8903717578961645,-3.0,1,0,0.972874640886684,9.039905053677346,-0.955963221151813,12,0.2233413212829437,0.418429086222025,0.358229592556616,1.0000000000615847,NF
MDKJ Perera,Home,v India, India,0,0,2023-09-17,32,2,7,20230917,2,20230917,0.0,-2.0,1,0,1.224682244240404,-0.3790066671798194,-0.9003185339820867,12,0.98512582008,0.0140595975816736,0.0008145822849893,0.999999999946663,OOF
MDKJ Perera,Neutral,v South Africa, South Africa,0,7,2023-10-07,32,19,8,20231007,4,20231007,2.079441541679836,-4.0,0,0,0.721067037532964,-0.1786042901403053,-0.8446738468123606,12,0.7751262935977501,0.17398701056655,0.0508866958804098,1.0000000000447098,OOF
MDKJ Perera,Neutral,v Pakistan, Pakistan,0,0,2023-10-10,32,2,9,20231010,2,20231010,0.0,-2.0,0,0,1.224682244240404,-0.3790066671798194,-0.7890291596426343,12,0.990568489915,0.0088564243381426,0.0005750857094296,0.9999999999625722,OOF
MDKJ Perera,Neutral,v Australia, Australia,0,78,2023-10-16,32,5,10,20231016,4,20231016,4.3694478524670215,-4.0,0,0,0.721067037532964,-0.3436415418199052,-0.7333844724729082,12,0.0896388120040647,0.2439575237698172,0.66640366424095,1.000000000014832,HF
MDKJ Perera,Neutral,v Netherlands, Netherlands,0,5,2023-10-21,32,4,11,20231021,14,20231021,1.791759469228055,-14.0,0,0,-1.7970089960042364,-0.3554299169398766,-0.677739785303182,12,0.9126170797325,0.0761169318385485,0.0112659884294691,1.0000000000005176,OOF
MDKJ Perera,Neutral,v England, England,0,4,2023-10-26,32,4,12,20231026,6,20231026,1.6094379124341005,-6.0,0,0,0.2174518308255238,-0.3554299169398766,-0.6220950981334558,12,0.91587439608,0.072883658268205,0.0112419455494124,0.9999999998976173,OOF
MDKJ Perera,Neutral,v Bangladesh, Bangladesh,0,4,2023-11-06,32,10,13,20231106,8,20231106,1.6094379124341005,-8.0,0,0,-0.2861633758819162,-0.2846996662200481,-0.5664504109637296,12,0.9297678481,0.0614173089726827,0.0088148428794882,0.9999999999521709,OOF
MDKJ Perera,Neutral,v New Zealand, New Zealand,0,51,2023-11-09,32,2,14,20231109,5,20231109,3.951243718581428,-5.0,0,0,0.4692594341792439,-0.3790066671798194,-0.5108057237940034,12,0.1058815296285127,0.2942271799404875,0.5998912904284036,0.9999999999974039,HF
P Nissanka,Away,v West Indies, West Indies,0,10,2021-03-12,38,1,1,20210312,9,20210312,2.3978952727983707,-9.0,0,1,-0.5379709792356362,-0.3907950422997909,-1.2341866570004438,13,0.23040876660085,0.712434249185975,0.0571569841721647,0.9999999999589897,NF
